--------- beginning of crash
03-11 19:04:24.890  1460  1460 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-commit-id:8f279a13f0709684183c66949c3aedba30471847
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-change-id:I9678c768ba1e3699d9c1b78051980c2e6eb41dfa
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-merge-id:none
03-11 19:04:25.191  1507  1594 I libGLES_mali: mtk-brm-commit-id:2dd3679a7a9ae1ac1c71018445b123e29438be5c
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-change-id:I2fd435266d7e8eadf0bdf45a2881b673239705c1
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-merge-id:none
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-commit-id:161f105d8fdcda4d5f9ff10858623788849cd706
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-change-id:I3cc60e15bedb425deae97e4ba62ce9795469d0f0
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-merge-id:none
03-11 19:04:25.226  1612  1612 I thermal_core: mtk-brm-commit-id:234641ae27aad1cfcf52a5ba536c107c965a52ab
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-change-id:Ieb2106d5ec215adedae5ff15a92923dc35fdb2bc
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-merge-id:none
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-commit-id:25a38658d8fcdbb20664f319d3ecf9d75fd3654c
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-change-id:I98bca291cad1df955fc3a2dd4a672c689604df9b
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-merge-id:none
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-commit-id:e0b1e6a299e09326d1e3c00df0bee88777f15fb0
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-change-id:Ia06225ca2806a5f28be95902c2303b12e9a90c38
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-commit-id:86b746c21fd235c214611f3344cf70649e895fd7
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-change-id:I44c926fb2a62b0816d0a8d12e3957bca373f1721
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-merge-id:none
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-commit-id:83b79bc206164073c4933dac9048e8bbf2468a2f
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-change-id:I3f996dc2e36f9014a83a3c7740956ca173b56f36
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-merge-id:none
03-11 19:04:25.375  1607  1607 I gpu_nn  : mtk-brm-commit-id:0b5fce9d2ecbb9be75db033475f121621364bbd0
03-11 19:04:25.377  1607  1607 I gpu_nn  : mtk-brm-change-id:Icf488c65b434d1938ee3d916fb07216f278b708b
03-11 19:04:25.378  1607  1607 I gpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-commit-id:9d634ad4aaec05afd61a48cc390c2f3e7ba213ba
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-change-id:I95f7f5b11ef3b8f02e5bc26abd93bf70033f9e48
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-merge-id:none
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-commit-id:dd4929e6a71bd0be06b2d18234833692e8dec44f
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-change-id:I4260c971d731b542818aac96725266c809617407
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-merge-id:none
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-commit-id:74ef16098784dd698d10950c8fd3f47295ee3fc0
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-change-id:I4b22c22d8511bdb8c07debbac82b1564676111e8
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-merge-id:none
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-commit-id:42dd6e7f89438f3318124f9493ca62ece27e05cf
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-change-id:Ifa8f19c763601e53c5a662fc54eb11853ade09e0
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-merge-id:none
03-12 15:00:51.829 10925 10925 E AndroidRuntime: FATAL EXCEPTION: main
03-12 15:00:51.829 10925 10925 E AndroidRuntime: Process: app.revenge, PID: 10925
03-12 15:00:51.829 10925 10925 E AndroidRuntime: java.lang.ExceptionInInitializerError
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at org.lsposed.lspatch.metaloader.LSPAppComponentFactoryStub.a(Unknown Source:451)
03-13 00:19:29.781  2101  2137 D WindowManager: setParent old=DefaultTaskDisplayArea@214220124,new=null,this window=Task{3fbc481 #1338 type=standard A=10532:app.revenge},callers=com.android.server.wm.WindowContainer.removeChild:896 com.android.server.wm.TaskDisplayArea.removeChildTask:357 com.android.server.wm.TaskDisplayArea.removeChild:348 com.android.server.wm.WindowContainer.removeImmediately:949 com.android.server.wm.TaskFragment.removeImmediately:3358 com.android.server.wm.Task.removeImmediately:2853 
03-13 00:19:29.782  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:29.808  2101  2137 D Dragonite: release 9
03-13 00:19:29.994  2101  2971 V ActivityManager: Death received in com.android.server.am.ActivityManagerService$AppDeathRecipient@f8e596 for thread android.os.BinderProxy@7f1a517
03-13 00:19:29.996  2101  2971 I START_DEBUG: remove ALL_TIMEOUT cleanup   ProcessRecord :ProcessRecord{1cc028 18328:app.revenge/u0a532}
03-13 00:19:29.997  2101  2190 I ActivityManager: Process PhantomProcessRecord {6599d8f 18701:18328:logcat/u0a532} died
03-13 00:19:30.003  2101  2167 W ActivityManager: setHasOverlayUi called on unknown pid: 18328
03-13 00:19:30.084  2101  2264 I NtCharge: mLastBatteryCycleCount:214
03-13 00:19:30.095  2101  2264 D NtCharge:  currentTimeInDay: 20524 LastTimeInDay: 20159 diff: 365
03-13 00:19:30.449  2101  4127 D VibratorManagerService: Canceling vibration
03-13 00:19:30.449  2101  4127 D NtVibratorManagerImpl: time before vibratorStop : 1773341370449
03-13 00:19:30.449  2101  4127 D RichTapVibratorService: aac richtap doVibratorStop
03-13 00:19:30.449  2101  4127 D RichTapVibratorService: richtap service stop!!
03-13 00:19:30.450  2101  4127 D NtVibratorManagerImpl: time after vibratorStop : 1773341370450
03-13 00:19:30.461  2101  4128 D NtVibratorManagerImpl:  result:1
03-13 00:19:30.527  2101  2657 D Dragonite: acquire handle 4
03-13 00:19:30.527  2101  2278 D Dragonite: sceneId = 2, pid = 2866, packageName = com.nothing.launcher, duration = 60000, params = null
03-13 00:19:30.533  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:30.534  2101  2657 D NtPopUpViewImpl: notifyEnterPinnedWindow!
03-13 00:19:30.735  2101  4128 D Dragonite: release 4
03-13 00:19:30.753  2101  2657 D Dragonite: acquire handle 10
03-13 00:19:30.753  2101  2278 D Dragonite: sceneId = 2, pid = 2866, packageName = com.nothing.launcher, duration = 60000, params = null
03-13 00:19:30.760  2556  2662 D WindowManagerShell: setLauncherKeepClearAreaHeight: visible=false, height=245
03-13 00:19:30.761  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:30.849  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:30.857  2866  2866 D InsetsController: Setting requestedVisibleTypes to -1 (was -9)
03-13 00:19:30.859  2101  4128 W PackageConfigPersister: App-specific configuration not found for packageName: com.nothing.launcher and userId: 0
03-13 00:19:30.868  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:30.868  2101  2971 W PackageConfigPersister: App-specific configuration not found for packageName: com.nothing.launcher and userId: 0
03-13 00:19:30.877  2101  4127 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:30.877  2101  4127 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@97dd881
03-13 00:19:30.885  2101  2657 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:30.886  2101  2657 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@752ad26
03-13 00:19:30.935  2101  4127 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:30.936  2101  4127 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@597d67
03-13 00:19:30.941  2101  4127 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:30.942  2101  4127 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@72e7bbd
03-13 00:19:30.948  2101  2971 I WindowManager: Relayout Window{4fafc67 u0 InputMethod}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 1080 requestedHeight = 2266 outFrames = ClientWindowFrames{frame=[0,126][1080,2392] display=[0,126][1080,2392] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=InputMethod)/@0x9097080
03-13 00:19:30.952  2556  2662 D WindowManagerShell: onKeepClearAreasChanged: restricted={}, unrestricted={Rect(0, 2279 - 1080, 2392)}
03-13 00:19:30.953  2101  4127 D CoreBackPreview: Window{6b4145b u0 com.nothing.launcher/com.android.searchlauncher.SearchLauncher}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@c4c16b9, mPriority=0, mIsAnimationCallback=true, mOverrideBehavior=0}
03-13 00:19:30.956  2556  2662 D WindowManagerShell: onKeepClearAreasChanged: restricted={}, unrestricted={Rect(0, 1565 - 1080, 2392)}
03-13 00:19:30.970  2101  4128 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:30.971  2101  4128 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7683afe
03-13 00:19:31.148  2101  4163 D Dragonite: release 10
03-13 00:19:32.120  2530  2541 D ISltntcService: onTransact
03-13 00:19:33.583  2866  2866 D InsetsController: Setting requestedVisibleTypes to -9 (was -1)
03-13 00:19:33.583  2101  4163 D CoreBackPreview: Window{6b4145b u0 com.nothing.launcher/com.android.searchlauncher.SearchLauncher}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@a9bb8f3, mPriority=0, mIsAnimationCallback=true, mOverrideBehavior=0}
03-13 00:19:33.593  2101  4163 D Dragonite: acquire handle 12
03-13 00:19:33.594  2101  2278 D Dragonite: sceneId = 2, pid = 2866, packageName = com.nothing.launcher, duration = 60000, params = null
03-13 00:19:33.890  2556  2662 D WindowManagerShell: onKeepClearAreasChanged: restricted={}, unrestricted={}
03-13 00:19:33.891  2101  4162 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:33.892  2101  4162 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@bfdc8ba
03-13 00:19:33.898  2101  2971 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.clearcut.service.START1 xflg=0x4 pkg=com.google.android.gms } U=0: not found
03-13 00:19:33.899  2101  4128 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@3674ec8
03-13 00:19:33.945  2101  2759 D NtBoostAdjusterImpl: onThermalStatus: [ThermalInfo{mType=cpu, mStatus=1}]
03-13 00:19:34.210  2101  2971 D Dragonite: release 12
03-13 00:19:35.034  2101  4162 D Dragonite: acquire handle 5
03-13 00:19:35.035  2101  2278 D Dragonite: sceneId = 2, pid = 2866, packageName = com.nothing.launcher, duration = 60000, params = null
03-13 00:19:35.039  2556  2662 D WindowManagerShell: setLauncherKeepClearAreaHeight: visible=true, height=245
03-13 00:19:35.042  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.078  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.088  2101  4162 W PackageConfigPersister: App-specific configuration not found for packageName: com.nothing.launcher and userId: 0
03-13 00:19:35.381  2101  4128 D Dragonite: release 5
03-13 00:19:35.500  2101  4162 D Dragonite: acquire handle 11
03-13 00:19:35.500  2101  2278 D Dragonite: sceneId = 1, pid = 2866, packageName = com.nothing.launcher, duration = 60000, params = null
03-13 00:19:35.512  2101  2971 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_RESIZEABLE_ACTIVITY_OVERRIDES
03-13 00:19:35.512  2101  2971 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_MIN_ASPECT_RATIO_OVERRIDE
03-13 00:19:35.513  2101  2971 D BLASTSyncEngine: [DH_DEBUG]scheduleTimeout #1028 success=true timeoutMs=5000 callback=com.android.server.wm.BLASTSyncEngine$SyncGroup$$ExternalSyntheticLambda2@4e21d3c
03-13 00:19:35.513  2101  2971 D WindowManager: [SG_DEBUG]Set SyncGroup{id=1028 name=Transition-OPEN} on ActivityRecord{26667717 u0 com.brave.browser/com.google.android.apps.chrome.Main
03-13 00:19:35.515  2101  2971 V NtGameModeImpl: onAppFocusChanged: pkg=com.nothing.launcher, uid=10193, category=-1, launchMode= 1
03-13 00:19:35.515  2101  2971 D NtTaskWindowSurfaceInfo: PopUpView: onWindowingModeChanged 0->1 mTask=Task{2282c1a #1339 type=standard}
03-13 00:19:35.516  2101  2971 D WindowManager: [SG_DEBUG]Set SyncGroup{id=1028 name=Transition-OPEN} on Task{2282c1a #1339 type=standard A=10250:com.brave.browser}
03-13 00:19:35.517  2101  2971 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_ORIENTATION_OVERRIDE
03-13 00:19:35.526  2101  2101 E MBrainLocalService: notifyAppSwitch failed
03-13 00:19:35.527  2101  4128 D CompatChangeReporter: Compat change id reported: 377864165; UID 10250; state: ENABLED
03-13 00:19:35.528  2101  2971 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 xflg=0x4 pkg=com.brave.browser cmp=com.brave.browser/com.google.android.apps.chrome.Main bnds=[540,2091][785,2336]} with LAUNCH_SINGLE_INSTANCE_PER_TASK from uid 10193 pid 2866 (sr=105923048) (BAL_ALLOW_VISIBLE_WINDOW) result code=0
03-13 00:19:35.530  2101  2971 D NtMemoryManager: mIsHighPressureScene: false : com.brave.browser
03-13 00:19:35.530  2101  2971 D NtProcessManager: Top app: com.brave.browser
03-13 00:19:35.530  2556  2662 D WindowManagerShell: setLauncherKeepClearAreaHeight: visible=false, height=245
03-13 00:19:35.530  2101  2971 D WindowManager: [SG_DEBUG]Set SyncGroup{id=1028 name=Transition-OPEN} on ActivityRecord{105923048 u0 com.nothing.launcher/com.android.searchlauncher.SearchLauncher t1201}
03-13 00:19:35.530  2101  2971 D WindowManager: [SG_DEBUG]Set SyncGroup{id=1028 name=Transition-OPEN} on WallpaperWindowToken{2ce495a showWhenLocked=true}
03-13 00:19:35.530  2101  2971 D WindowManager: [SG_DEBUG]Set SyncGroup{id=1028 name=Transition-OPEN} on WallpaperWindowToken{1ae1c81 showWhenLocked=false}
03-13 00:19:35.530  2556  2662 V WindowManagerShell: Transition requested (#1028): android.os.BinderProxy@ba297e4 TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=1339 effectiveUid=10250 displayId=0 isRunning=true baseIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 pkg=com.brave.browser cmp=com.brave.browser/com.google.android.apps.chrome.Main } baseActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} topActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} origActivity=ComponentInfo{com.brave.browser/com.google.android.apps.chrome.Main} realActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} numActivities=1 lastActiveTime=105360821 supportsMultiWindow=true resizeMode=2 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{android.window.IWindowContainerToken$Stub$Proxy@cda544d} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 126 - 0, 0) topActivityInfo=ActivityInfo{f338b02 com.google.android.apps.chrome.Main} launchCookies=[android.os.BinderProxy@2d8fc13] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=false isVisible=false isVisibleRequested=false isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false isActivityStackTransparent=false lastNonFullscreenBounds=Rect(277, 691 - 804, 1771) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=-9 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityAppBounds=Rect(0, 0 - 1080, 2392) isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { freeformCameraCompatMode=inactive}} topActivityMainWindowFrame=null}, pipChange = null, remoteTransition = RemoteTransition { remoteTransition = android.window.IRemoteTransition$Stub$Proxy@ce34e50, appThread = android.app.IApplicationThread$Stub$Proxy@84e849, debugName = QuickstepLaunch }, displayChange = null, flags = 0, debugId = 1028 }
03-13 00:19:35.530  2556  2662 D ShellSplitScreen: logExit: no-op, mLoggerSessionId is null
03-13 00:19:35.531  2556  2662 V WindowManagerShell: RemoteTransition directly requested for (#1028) android.os.BinderProxy@ba297e4: RemoteTransition { remoteTransition = android.window.IRemoteTransition$Stub$Proxy@ce34e50, appThread = android.app.IApplicationThread$Stub$Proxy@84e849, debugName = QuickstepLaunch }
03-13 00:19:35.531  2556  2662 V WindowManagerShell: Transition (#1028): request handled by DefaultMixedHandler
03-13 00:19:35.531  2101  2971 V NtGameModeImpl: onAppFocusChanged: pkg=com.brave.browser, uid=10250, category=4, launchMode= 1
03-13 00:19:35.531  2101  2971 D NtPopUpViewImpl: PopUpView: onAppFocusChanged: newTask=Task{2282c1a #1339 type=standard A=10250:com.brave.browser}, showDimmer=false
03-13 00:19:35.532  2101  2195 D OomAdjuster: set group = 5
03-13 00:19:35.532  2101  2195 D OomAdjuster: set cpuset: 5
03-13 00:19:35.532  2101  2971 D NtKafkaEventHelper: onActivityRecordChanged: info com.brave.browser:10250:14782
03-13 00:19:35.533  2101  2971 W WindowManager: Changing focus from Window{6b4145b u0 com.nothing.launcher/com.android.searchlauncher.SearchLauncher} to null displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:494 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6824 com.android.server.wm.ActivityTaskManagerService.setLastResumedActivityUncheckLocked:5275 com.android.server.wm.ActivityTaskSupervisor.updateTopResumedActivityIfNeeded:2419 
03-13 00:19:35.533  2101  2971 D ActivityManager: quick sync unfreeze 14782 for 1
03-13 00:19:35.536  2101  2101 E MBrainLocalService: notifyAppSwitch failed
03-13 00:19:35.541  2101  2759 D NtBoostAdjusterImpl: threadPriorityBoost: pid = 2168, duration = 500
03-13 00:19:35.541  2101  2759 D NtBoostAdjusterImpl: tryBoostThreadPriority: pid = 2168, counting = 1
03-13 00:19:35.560  2101  2759 D NtBoostAdjusterImpl: threadPriorityBoost: pid = 7444, duration = 500
03-13 00:19:35.560  2101  2759 D NtBoostAdjusterImpl: tryBoostThreadPriority: pid = 7444, counting = 1
03-13 00:19:35.562  2101  2167 D NtMemoryManager: not set com.brave.browser adj to -1
03-13 00:19:35.563  2101  2167 D ActivityManager: sync unfroze 14782 com.brave.browser for 1
03-13 00:19:35.564  2101  2167 D ActivityManager: sync unfroze 14908 com.brave.browser:privileged_process0 for 1
03-13 00:19:35.567  2556  2670 D NtViewRootImpl: mPopUpViewOffsets: offset=(0.0, 0.0), scale=(1.0, 1.0)
03-13 00:19:35.569  2530  6993 D SceneManager: TopAPP=com.brave.browser
03-13 00:19:35.575  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.575  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.575  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.576  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.577  2101  2474 D BackgroundInstallControlService: Package event received: 0
03-13 00:19:35.581  2101  2168 D WindowManager: [SG_DEBUG]Clear [finished]SyncGroup{id=1028 name=Transition-OPEN} on ActivityRecord{105923048 u0 com.nothing.launcher/com.android.searchlauncher.SearchLauncher t1201}
03-13 00:19:35.581  2101  2168 D WindowManager: [SG_DEBUG]Clear [finished]SyncGroup{id=1028 name=Transition-OPEN} on WallpaperWindowToken{2ce495a showWhenLocked=true}
03-13 00:19:35.581  2101  2168 D WindowManager: [SG_DEBUG]Clear [finished]SyncGroup{id=1028 name=Transition-OPEN} on ActivityRecord{26667717 u0 com.brave.browser/com.google.android.apps.chrome.Main t1339}
03-13 00:19:35.581  2101  2168 D WindowManager: [SG_DEBUG]Clear [finished]SyncGroup{id=1028 name=Transition-OPEN} on Task{2282c1a #1339 type=standard A=10250:com.brave.browser}
03-13 00:19:35.581  2101  2168 D WindowManager: [SG_DEBUG]Clear [finished]SyncGroup{id=1028 name=Transition-OPEN} on WallpaperWindowToken{1ae1c81 showWhenLocked=false}
03-13 00:19:35.582  2101  2168 D BLASTSyncEngine: [DH_DEBUG]remove timeout #1028 callback=com.android.server.wm.BLASTSyncEngine$SyncGroup$$ExternalSyntheticLambda2@4e21d3c
03-13 00:19:35.583  2101  2164 V WindowManager: Sent Transition (#1028) createdAt=03-13 00:19:35.513 via request=TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=1339 effectiveUid=10250 displayId=0 isRunning=true baseIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 pkg=com.brave.browser cmp=com.brave.browser/com.google.android.apps.chrome.Main } baseActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} topActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} origActivity=ComponentInfo{com.brave.browser/com.google.android.apps.chrome.Main} realActivity=ComponentInfo{com.brave.browser/org.chromium.chrome.browser.ChromeTabbedActivity} numActivities=1 lastActiveTime=105360821 supportsMultiWindow=true resizeMode=2 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{8c608fc Task{2282c1a #1339 type=standard A=10250:com.brave.browser}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 126 - 0, 0) topActivityInfo=ActivityInfo{1f6cb85 com.google.android.apps.chrome.Main} launchCookies=[android.os.BinderProxy@5f55dda] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=false isVisible=false isVisibleRequested=false isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false isActivityStackTransparent=false lastNonFullscreenBounds=Rect(277, 691 - 804, 1771) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=-9 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityAppBounds=Rect(0, 0 - 1080, 2392) isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { freeformCameraCompatMode=inactive}} topActivityMainWindowFrame=null}, pipChange = null, remoteTransition = RemoteTransition { remoteTransition = android.window.IRemoteTransition$Stub$Proxy@cad920b, appThread = android.app.IApplicationThread$Stub$Proxy@7e8b8e8, debugName = QuickstepLaunch }, displayChange = null, flags = 0, debugId = 1028 }
03-13 00:19:35.583  2101  2164 V WindowManager:     startWCT=WindowContainerTransaction { changes= {} hops= [] errorCallbackToken=null taskFragmentOrganizer=null }
03-13 00:19:35.583  2101  2164 V WindowManager:     info={id=1028 t=OPEN f=0x0 trk=0 isSameTaskSwitch=false r=[0@Point(0, 0)] c=[
